Genre,Description
Adventure,Adventure films are a genre of film whose plots feature elements of travel. They typically involve protagonists who must leave their home or place of comfort and go to far away lands to fulfill a goal.
Animation,Animation is a method in which figures are manipulated to appear as moving images. In traditional animation images are drawn or painted by hand on transparent celluloid sheets to be photographed and exhibited on film.
Children,A children's film or family film is a film genre that contains children or relates to them in the context of home and family. Children's films are made specifically for children and not necessarily for the general audience while family films are made for a wider appeal with a general audience in mind.
Comedy,A comedy film is a category of film in which the main emphasis is on humor. These films are designed to make the audience laugh through amusement and most often work by exaggerating characteristics for humorous effect.
Fantasy,Fantasy films are films that belong to the fantasy genre with fantastic themes usually magic supernatural events mythology folklore or exotic fantasy worlds.
Romance,Romance films romance movies ship movies or ship films are romantic love stories recorded in visual media for broadcast in theaters and on TV that focus on passion emotion and the affectionate romantic involvement of the main characters and the journey that their love takes them through dating courtship or marriage.
Drama,Drama is a category of narrative fiction (or semi-fiction) intended to be more serious than humorous in tone.
Action,Action film is a film genre in which the protagonist or protagonists are thrust into a series of events that typically include violence extended fighting physical feats rescues and frantic chases.
Crime,Crime films in the broadest sense is a film genre inspired by and analogous to the crime fiction literary genre. Films of this genre generally involve various aspects of crime and its detection.
Thriller,Thriller film also known as suspense film or suspense thriller is a broad film genre that evokes excitement and suspense in the audience.
Horror,A horror film is one that seeks to elicit fear or disgust in its audience for entertainment purposes.
Mystery,A mystery film is a genre of film that revolves around the solution of a problem or a crime. It focuses on the efforts of the detective private investigator or amateur sleuth to solve the mysterious circumstances of an issue by means of clues investigation and clever deduction.
Sci-Fi,Science fiction (or sci-fi) is a film genre that uses speculative fictional science-based depictions of phenomena that are not fully accepted by mainstream science such as extraterrestrial lifeforms alien worlds extrasensory perception and time travel along with futuristic elements such as spacecraft robots cyborgs interstellar travel or other technologies. Science fiction films have often been used to focus on political or social issues and to explore philosophical issues like the human condition.
IMAX,IMAX is a type of cinema. In an IMAX theater movies are shown on a larger screen and have more detail (also called “higher resolution”) than traditional movies. The sound quality is very high in IMAX theaters as well so the sound effects of movies are clear and sharp.
Documentary,A documentary film or documentary is a non-fictional motion-picture intended to document reality primarily for the purposes of instruction education or maintaining a historical record.
War,War film is a film genre concerned with warfare typically about naval air or land battles with combat scenes central to the drama. It has been strongly associated with the 20th century.
Musical,Musical film is a film genre in which songs by the characters are interwoven into the narrative sometimes accompanied by dancing. The songs usually advance the plot or develop the film's characters but in some cases they serve merely as breaks in the storyline often as elaborate production numbers.
Film-Noir,Film noir is a cinematic term used primarily to describe stylish Hollywood crime dramas particularly those that emphasize cynical attitudes and motivations.
Western,Western is a genre of fiction set primarily in the latter half of the 19th and early 20th century in the Western United States which is styled the Old West. Its stories commonly center on the life of a nomadic cowboy or gunfighter[1] who rides a horse and is armed with a revolver and/or a rifle.
Short,A broad category of films defined by their short running time in comparison with that of the feature film.
